id,district,code,party,first_name,last_name,first_elected,birth_year,gender,race_ethnicity,religion,lgbtq,votepercent_president2016_democrat,votepercent_president2016_republican,votepercent_president2012_democrat,votepercent_president2012_republican,votepercent_president2008_democrat,votepercent_president2008_republican,rvotepercent_house_democrat,rvotepercent_house_republican,votepercent_president2004_democrat,votepercent_president2004_republican,votepercent_president2000_democrat,votepercent_president2000_republican,votepercent2014_house_democrat,votepercent2014_house_republican,two_party2012_dem,two_party2012_rep,acs_population_adult_white,acs_population_adult_black,acs_population_adult_latino,acs_population_adult_asianpacificislander,acs_population_adult_native,acs_population_adult_other,acs_bachelordegree_age25plus,acs_ba_rank,acs_ba_white,acs_ba_white_rank,acs_medianincome,acs_medianincome_rank,noncollege_white_share,tvotetotal_president,qvote_president_democrat,qvote_president_republican,votetotal_president2012,vote_president2012_democrat,vote_president2012_republican,votetotal_president2008,vote_president2008_democrat,vote_president2008_republican,votetotal2016_house,vote_house2016_democrat,vote_house2016_republican,vote_house2016_other,vote_total2014_house,vote_house2014_democrat,vote_house2014_republican,vote_house2014_other,house2_party2012_dem,house2_party2012_rep,acs_population_total,acs_votingagepopulation_total,,,
224,Mississippi 4th,MS-04,Republican,Steven,Palazzo,2010,1970,Man,White - Non-Hispanic,Christian - Roman Catholic,No,28.2,69.4,31.2,67.6,31.1,67.9,27.8,65,59,40,57,41,24.3,69.9,31,69,73,22.3,2.3,1.1,0.3,1,21.1,365,23.5,383,45192,368,55.8,283455,80045,196652,294909,92127,199354,288369,89613,195935,278779,77505,181323,19951,155576,37869,108776,8931,82344,182998,747545,564700,,,"(224,'Mississippi 4th','MS-04','Republican','Steven','Palazzo',2010,1970,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',28.2,69.4,31.2,67.6,31.1,67.9,27.8,65,59,40,57,41,24.3,69.9,31,69,73,22.3,2.3,1.1,0.3,1,21.1,365,23.5,383,45192,368,55.8,283455,80045,196652,294909,92127,199354,288369,89613,195935,278779,77505,181323,19951,155576,37869,108776,8931,82344,182998,747545,564700),"
225,Missouri 1st,MO-01,Democratic,Lacy,Clay,2000,1956,Man,Black - African-American,Christian - Roman Catholic,No,77,18.8,79.9,18.9,80.3,18.6,75.5,20,53,46,49,44,73,21.6,81.5,18.5,46.8,47.8,1.8,1.7,0.2,1.8,31.8,169,43.4,104,45172,369,26.4,319606,246107,60136,350829,280194,66286,384801,309062,71725,314024,236993,62714,14317,163494,119315,35273,8906,267927,60832,714610,552275,,,"(225,'Missouri 1st','MO-01','Democratic','Lacy','Clay',2000,1956,'Man','Black - African-American','Christian - Roman Catholic','No',77,18.8,79.9,18.9,80.3,18.6,75.5,20,53,46,49,44,73,21.6,81.5,18.5,46.8,47.8,1.8,1.7,0.2,1.8,31.8,169,43.4,104,45172,369,26.4,319606,246107,60136,350829,280194,66286,384801,309062,71725,314024,236993,62714,14317,163494,119315,35273,8906,267927,60832,714610,552275),"
226,Missouri 2nd,MO-02,Republican,Ann,Wagner,2012,1962,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,42.3,52.6,41.4,57.1,46.4,52.6,37.7,58.5,75,25,72,26,32.6,64.1,38.2,61.8,91.1,3.6,1.6,2.6,0.1,0.9,49.2,27,49,68,79724,53,46.4,420072,177647,220842,411992,170727,235428,429449,199128,225911,413296,155689,241954,15653,231117,75384,148191,7542,146272,236971,737410,571815,,,"(226,'Missouri 2nd','MO-02','Republican','Ann','Wagner',2012,1962,'Woman','White - Non-Hispanic','Christian - Roman Catholic','No',42.3,52.6,41.4,57.1,46.4,52.6,37.7,58.5,75,25,72,26,32.6,64.1,38.2,61.8,91.1,3.6,1.6,2.6,0.1,0.9,49.2,27,49,68,79724,53,46.4,420072,177647,220842,411992,170727,235428,429449,199128,225911,413296,155689,241954,15653,231117,75384,148191,7542,146272,236971,737410,571815),"
227,Missouri 3rd,MO-03,Republican,Blaine,Luetkemeyer,2008,1960,Man,White - Non-Hispanic,Christian - Roman Catholic,No,28.1,67.1,36.1,62,42.8,55.8,27.9,67.8,40,60,39,59,27.1,68.3,34.1,65.9,93.5,3.1,1.5,0.6,0.3,1.1,26.4,268,26.3,328,61929,157,68.9,378846,106365,254183,353496,127443,219156,370056,158404,206620,368333,102891,249865,15577,191620,52021,130940,8659,111189,214843,759400,576785,,,"(227,'Missouri 3rd','MO-03','Republican','Blaine','Luetkemeyer',2008,1960,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',28.1,67.1,36.1,62,42.8,55.8,27.9,67.8,40,60,39,59,27.1,68.3,34.1,65.9,93.5,3.1,1.5,0.6,0.3,1.1,26.4,268,26.3,328,61929,157,68.9,378846,106365,254183,353496,127443,219156,370056,158404,206620,368333,102891,249865,15577,191620,52021,130940,8659,111189,214843,759400,576785),"
228,Missouri 4th,MO-04,Republican,Vicky,Hartzler,2010,1960,Woman,White - Non-Hispanic,Christian - Evangelical Protestant,No,29.3,65.3,36.4,61.2,41.9,56.5,27.8,67.8,57,43,54,43,26.4,68.1,37,63,90,4.6,2.4,0.8,0.4,1.8,23.9,311,23.8,376,48065,339,68.5,340290,99844,222162,329292,119908,201672,350083,146703,197817,332234,92510,225348,14376,176286,46464,120014,9808,113120,192237,746830,575725,,,"(228,'Missouri 4th','MO-04','Republican','Vicky','Hartzler',2010,1960,'Woman','White - Non-Hispanic','Christian - Evangelical Protestant','No',29.3,65.3,36.4,61.2,41.9,56.5,27.8,67.8,57,43,54,43,26.4,68.1,37,63,90,4.6,2.4,0.8,0.4,1.8,23.9,311,23.8,376,48065,339,68.5,340290,99844,222162,329292,119908,201672,350083,146703,197817,332234,92510,225348,14376,176286,46464,120014,9808,113120,192237,746830,575725),"
229,Missouri 5th,MO-05,Democratic,Emanuel,Cleaver,2004,1944,Man,Black - African-American,Christian - Methodist,No,54.1,40.6,58.9,39.4,62,36.8,58.8,38.2,35,64,40,58,51.6,45,62.1,37.9,70.7,21,4.9,1.4,0.4,1.6,28.2,230,32.5,228,48693,329,47.6,328803,177772,133458,338346,199298,133185,370231,229496,136071,324270,190766,123771,9733,153635,79256,69071,5308,200290,122149,733140,558455,,,"(229,'Missouri 5th','MO-05','Democratic','Emanuel','Cleaver',2004,1944,'Man','Black - African-American','Christian - Methodist','No',54.1,40.6,58.9,39.4,62,36.8,58.8,38.2,35,64,40,58,51.6,45,62.1,37.9,70.7,21,4.9,1.4,0.4,1.6,28.2,230,32.5,228,48693,329,47.6,328803,177772,133458,338346,199298,133185,370231,229496,136071,324270,190766,123771,9733,153635,79256,69071,5308,200290,122149,733140,558455),"
230,Missouri 6th,MO-06,Republican,Sam,Graves,2000,1963,Man,White - Non-Hispanic,Christian - Southern Baptist,No,31.7,63.1,37.9,60,43.1,55.3,28.4,68,59,40,60,37,29.5,66.7,33.3,66.7,91,3.8,2.7,0.9,0.3,1.3,28.6,226,29,282,58532,193,64.5,354014,112056,223375,341953,129610,205283,359371,154736,198560,350444,99692,238388,12364,186970,55157,124616,7197,108503,216906,749380,568245,,,"(230,'Missouri 6th','MO-06','Republican','Sam','Graves',2000,1963,'Man','White - Non-Hispanic','Christian - Southern Baptist','No',31.7,63.1,37.9,60,43.1,55.3,28.4,68,59,40,60,37,29.5,66.7,33.3,66.7,91,3.8,2.7,0.9,0.3,1.3,28.6,226,29,282,58532,193,64.5,354014,112056,223375,341953,129610,205283,359371,154736,198560,350444,99692,238388,12364,186970,55157,124616,7197,108503,216906,749380,568245),"
231,Missouri 7th,MO-07,Republican,Billy,Long,2010,1955,Man,White - Non-Hispanic,Christian - Presbyterian,No,24.7,70.4,30.3,67.6,35.3,63.1,27.4,67.5,42,57,44,53,28.8,63.5,32.6,67.4,92.5,1.7,2.4,0.9,0.9,1.7,23.2,327,23.8,376,44619,378,70.5,342069,84419,240690,325978,98916,220216,342504,121064,216172,338607,92756,228692,17159,163957,47282,104054,12621,98498,203565,749240,574405,,,"(231,'Missouri 7th','MO-07','Republican','Billy','Long',2010,1955,'Man','White - Non-Hispanic','Christian - Presbyterian','No',24.7,70.4,30.3,67.6,35.3,63.1,27.4,67.5,42,57,44,53,28.8,63.5,32.6,67.4,92.5,1.7,2.4,0.9,0.9,1.7,23.2,327,23.8,376,44619,378,70.5,342069,84419,240690,325978,98916,220216,342504,121064,216172,338607,92756,228692,17159,163957,47282,104054,12621,98498,203565,749240,574405),"
232,Missouri 8th,MO-08,Republican,Jason,Smith,2013,1980,Man,White - Non-Hispanic,Christian - Pentecostal,No,21,75.4,32,65.9,38.3,60,22.7,74.4,32,67,36,62,24.3,66.7,25.4,74.6,92.6,4.3,1.2,0.2,0.5,1.2,15,424,15.3,434,40639,414,78.4,317749,66858,239666,305437,97700,201214,321648,123319,192937,308871,70009,229792,9070,159224,38721,106124,14379,73755,216083,740015,570175,,,"(232,'Missouri 8th','MO-08','Republican','Jason','Smith',2013,1980,'Man','White - Non-Hispanic','Christian - Pentecostal','No',21,75.4,32,65.9,38.3,60,22.7,74.4,32,67,36,62,24.3,66.7,25.4,74.6,92.6,4.3,1.2,0.2,0.5,1.2,15,424,15.3,434,40639,414,78.4,317749,66858,239666,305437,97700,201214,321648,123319,192937,308871,70009,229792,9070,159224,38721,106124,14379,73755,216083,740015,570175),"
233,Montana At-Large,MT-00,Republican,Greg,Gianforte,2017,1961,Man,White - Non-Hispanic,Christian - Lutheran,No,35.9,56.5,41.7,55.4,47.2,49.6,40.5,56.2,34,65,35,64,40.4,55.4,44.5,55.5,89.5,0.4,2.6,0.6,5.4,1.7,31,177,31.9,238,50027,311,60.9,494525,177709,279240,483932,201839,267928,491767,232159,243882,507831,205919,285358,16554,367963,148690,203871,15402,204939,255468,1013805,789500,,,"(233,'Montana At-Large','MT-00','Republican','Greg','Gianforte',2017,1961,'Man','White - Non-Hispanic','Christian - Lutheran','No',35.9,56.5,41.7,55.4,47.2,49.6,40.5,56.2,34,65,35,64,40.4,55.4,44.5,55.5,89.5,0.4,2.6,0.6,5.4,1.7,31,177,31.9,238,50027,311,60.9,494525,177709,279240,483932,201839,267928,491767,232159,243882,507831,205919,285358,16554,367963,148690,203871,15402,204939,255468,1013805,789500),"
234,Nebraska 1st,NE-01,Republican,Jeff,Fortenberry,2004,1960,Man,White - Non-Hispanic,Christian - Roman Catholic,No,36.2,57.5,40.8,57.5,44,54.1,30.5,69.5,52,47,49,50,31.2,68.8,31.7,68.3,89.7,2.5,4.2,1.5,0.9,1.2,32.5,163,33.9,206,58537,192,59.3,276046,100030,158629,264718,107994,152122,267008,117514,144470,273238,83467,189771,0,179057,55838,123219,0,81206,174889,605570,455120,,,"(234,'Nebraska 1st','NE-01','Republican','Jeff','Fortenberry',2004,1960,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',36.2,57.5,40.8,57.5,44,54.1,30.5,69.5,52,47,49,50,31.2,68.8,31.7,68.3,89.7,2.5,4.2,1.5,0.9,1.2,32.5,163,33.9,206,58537,192,59.3,276046,100030,158629,264718,107994,152122,267008,117514,144470,273238,83467,189771,0,179057,55838,123219,0,81206,174889,605570,455120),"
235,Nebraska 2nd,NE-02,Republican,Don,Bacon,2016,1963,Man,White - Non-Hispanic,Christian - Protestant,No,46,48.2,45.7,52.8,49.8,48.6,47.7,48.9,36,63,33,61,49,45.7,49.2,50.8,82.4,9.1,5.1,1.5,0.4,1.4,39.2,85,43.7,100,62621,150,46.4,285211,131102,137506,266720,121971,140880,267039,133016,129890,288308,137602,141066,9640,171050,83872,78157,9021,129767,133964,607555,442145,,,"(235,'Nebraska 2nd','NE-02','Republican','Don','Bacon',2016,1963,'Man','White - Non-Hispanic','Christian - Protestant','No',46,48.2,45.7,52.8,49.8,48.6,47.7,48.9,36,63,33,61,49,45.7,49.2,50.8,82.4,9.1,5.1,1.5,0.4,1.4,39.2,85,43.7,100,62621,150,46.4,285211,131102,137506,266720,121971,140880,267039,133016,129890,288308,137602,141066,9640,171050,83872,78157,9021,129767,133964,607555,442145),"
236,Nebraska 3rd,NE-03,Republican,Adrian,Smith,2006,1970,Man,White - Non-Hispanic,Christian - Evangelical Free Church,No,20,74.9,27.8,70.2,31,66.9,0,100,36,63,36,59,24.6,75.4,25.8,74.2,91.2,0.8,6,0.5,0.6,0.9,22.2,348,23.9,375,50985,289,69.4,266918,53362,199826,259224,72116,182062,266981,82789,178619,226720,0,226720,0,184964,45524,139440,0,65266,187423,586185,443750,,,"(236,'Nebraska 3rd','NE-03','Republican','Adrian','Smith',2006,1970,'Man','White - Non-Hispanic','Christian - Evangelical Free Church','No',20,74.9,27.8,70.2,31,66.9,0,100,36,63,36,59,24.6,75.4,25.8,74.2,91.2,0.8,6,0.5,0.6,0.9,22.2,348,23.9,375,50985,289,69.4,266918,53362,199826,259224,72116,182062,266981,82789,178619,226720,0,226720,0,184964,45524,139440,0,65266,187423,586185,443750),"
237,Nevada 1st,NV-01,Democratic,Dina,Titus,2012,1950,Woman,White - Non-Hispanic,Christian - Orthodox,No,61.6,32.6,65.6,32.4,64.5,33,61.9,28.8,51,48,48,47,56.8,37.9,66.8,33.2,48,12.5,27.3,9.1,0.5,2.5,15.2,422,19.6,421,38000,423,38.5,196840,121321,64233,187686,123205,60813,189190,122041,62527,188352,116537,54174,17641,80299,45643,30413,4243,113967,56521,554245,404480,,,"(237,'Nevada 1st','NV-01','Democratic','Dina','Titus',2012,1950,'Woman','White - Non-Hispanic','Christian - Orthodox','No',61.6,32.6,65.6,32.4,64.5,33,61.9,28.8,51,48,48,47,56.8,37.9,66.8,33.2,48,12.5,27.3,9.1,0.5,2.5,15.2,422,19.6,421,38000,423,38.5,196840,121321,64233,187686,123205,60813,189190,122041,62527,188352,116537,54174,17641,80299,45643,30413,4243,113967,56521,554245,404480),"
238,Nevada 2nd,NV-02,Republican,Mark,Amodei,2011,1958,Man,White - Non-Hispanic,Christian - Protestant,No,39.7,52,44.8,52.9,49.4,48.2,36.9,58.3,41,58,43,54,27.9,65.7,38.6,61.4,77.3,1.9,13,3.8,2.1,1.9,25.5,282,28.9,284,58214,194,54.9,326011,129318,169631,293476,131542,155187,285982,141357,137916,313336,115722,182676,14938,186210,52016,122402,11792,102019,162213,647720,494080,,,"(238,'Nevada 2nd','NV-02','Republican','Mark','Amodei',2011,1958,'Man','White - Non-Hispanic','Christian - Protestant','No',39.7,52,44.8,52.9,49.4,48.2,36.9,58.3,41,58,43,54,27.9,65.7,38.6,61.4,77.3,1.9,13,3.8,2.1,1.9,25.5,282,28.9,284,58214,194,54.9,326011,129318,169631,293476,131542,155187,285982,141357,137916,313336,115722,182676,14938,186210,52016,122402,11792,102019,162213,647720,494080),"
239,Nevada 3rd,NV-03,Democratic,Jacky,Rosen,2016,1957,Woman,White - Non-Hispanic,Jewish,No,46.5,47.5,49.5,48.7,53.5,44.6,47.2,46,54,45,52,43,36.1,60.8,46,54,64.3,6.7,13.1,12.4,0.4,3,31.5,172,32.9,226,68396,108,43.1,325602,151552,154815,283656,140501,138238,262257,140378,116908,310963,146869,142926,21168,145719,52644,88528,4547,116823,137244,688880,528000,,,"(239,'Nevada 3rd','NV-03','Democratic','Jacky','Rosen',2016,1957,'Woman','White - Non-Hispanic','Jewish','No',46.5,47.5,49.5,48.7,53.5,44.6,47.2,46,54,45,52,43,36.1,60.8,46,54,64.3,6.7,13.1,12.4,0.4,3,31.5,172,32.9,226,68396,108,43.1,325602,151552,154815,283656,140501,138238,262257,140378,116908,310963,146869,142926,21168,145719,52644,88528,4547,116823,137244,688880,528000),"
240,Nevada 4th,NV-04,Democratic,Ruben,Kihuen,2016,1980,Man,Hispanic - Mexican,Christian - Roman Catholic,No,49.5,44.6,54.4,43.7,56.4,41.4,48.5,44.5,57,42,56,41,45.8,48.5,54.3,45.7,56.9,15.3,18.1,5.9,0.9,2.9,20.4,380,24.6,362,55712,221,42.8,276932,137070,123380,250100,136124,109330,230420,129961,95477,265846,128985,118328,18533,130781,59844,63466,7471,120501,101261,656295,475725,,,"(240,'Nevada 4th','NV-04','Democratic','Ruben','Kihuen',2016,1980,'Man','Hispanic - Mexican','Christian - Roman Catholic','No',49.5,44.6,54.4,43.7,56.4,41.4,48.5,44.5,57,42,56,41,45.8,48.5,54.3,45.7,56.9,15.3,18.1,5.9,0.9,2.9,20.4,380,24.6,362,55712,221,42.8,276932,137070,123380,250100,136124,109330,230420,129961,95477,265846,128985,118328,18533,130781,59844,63466,7471,120501,101261,656295,475725),"
241,New Hampshire 1st,NH-01,Democratic,Carol,Shea-Porter,2016,1952,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,46.6,48.2,50.2,48.6,52.8,46.4,45.8,44.4,38,60,39,57,48.1,51.7,52,48,94.4,0.9,2.2,1.3,0.1,1.1,37.2,105,37.4,167,71277,85,59,371973,173344,179259,356812,179148,173419,353603,186598,163977,353451,161828,157011,34612,242736,116769,125508,459,171650,158659,648965,516980,,,"(241,'New Hampshire 1st','NH-01','Democratic','Carol','Shea-Porter',2016,1952,'Woman','White - Non-Hispanic','Christian - Roman Catholic','No',46.6,48.2,50.2,48.6,52.8,46.4,45.8,44.4,38,60,39,57,48.1,51.7,52,48,94.4,0.9,2.2,1.3,0.1,1.1,37.2,105,37.4,167,71277,85,59,371973,173344,179259,356812,179148,173419,353603,186598,163977,353451,161828,157011,34612,242736,116769,125508,459,171650,158659,648965,516980),"
242,New Hampshire 2nd,NH-02,Democratic,Annie,Kuster,2012,1956,Woman,White - Non-Hispanic,Christian - Episcopalian,No,48.6,46.2,54.2,44.5,56,43.1,49.8,45.4,24,75,25,71,54.9,44.9,52.5,47.5,94.4,0.9,2.2,1.3,0.2,1.1,35.9,122,35.6,186,70524,92,60.7,360294,175182,166531,351587,190413,156499,354008,198228,152557,350189,174386,158960,16843,238149,130679,106857,613,169275,152977,642445,510650,,,"(242,'New Hampshire 2nd','NH-02','Democratic','Annie','Kuster',2012,1956,'Woman','White - Non-Hispanic','Christian - Episcopalian','No',48.6,46.2,54.2,44.5,56,43.1,49.8,45.4,24,75,25,71,54.9,44.9,52.5,47.5,94.4,0.9,2.2,1.3,0.2,1.1,35.9,122,35.6,186,70524,92,60.7,360294,175182,166531,351587,190413,156499,354008,198228,152557,350189,174386,158960,16843,238149,130679,106857,613,169275,152977,642445,510650),"
243,New Jersey 1st,NJ-01,Democratic,Donald,Norcross,2014,1958,Man,White - Non-Hispanic,Christian - Lutheran,No,60.6,36.1,65.1,33.8,64.7,34.2,60,36.8,48,51,46,49,57.4,39.4,69.5,30.5,69.6,16.3,9.1,3.8,0.1,1.2,30.4,189,33.4,215,68208,110,46.3,329188,199386,118880,326134,212236,110377,340075,219874,116242,305473,183231,112388,9854,162492,93315,64073,5104,210470,92459,700485,536535,,,"(243,'New Jersey 1st','NJ-01','Democratic','Donald','Norcross',2014,1958,'Man','White - Non-Hispanic','Christian - Lutheran','No',60.6,36.1,65.1,33.8,64.7,34.2,60,36.8,48,51,46,49,57.4,39.4,69.5,30.5,69.6,16.3,9.1,3.8,0.1,1.2,30.4,189,33.4,215,68208,110,46.3,329188,199386,118880,326134,212236,110377,340075,219874,116242,305473,183231,112388,9854,162492,93315,64073,5104,210470,92459,700485,536535),"
244,New Jersey 2nd,NJ-02,Republican,Frank,LoBiondo,1994,1946,Man,White - Non-Hispanic,Christian - Roman Catholic,No,46,50.6,53.5,45.4,53.2,45.5,37.2,59.2,52,47,48,47,37.3,61.5,41.1,58.9,73.4,12.1,9.9,3,0.2,1.3,25.8,279,30.3,268,60756,175,51.1,321004,147656,162486,311778,166906,141479,328805,174840,149736,297795,110838,176338,10619,177148,66026,108875,2247,116463,166679,691390,534145,,,"(244,'New Jersey 2nd','NJ-02','Republican','Frank','LoBiondo',1994,1946,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',46,50.6,53.5,45.4,53.2,45.5,37.2,59.2,52,47,48,47,37.3,61.5,41.1,58.9,73.4,12.1,9.9,3,0.2,1.3,25.8,279,30.3,268,60756,175,51.1,321004,147656,162486,311778,166906,141479,328805,174840,149736,297795,110838,176338,10619,177148,66026,108875,2247,116463,166679,691390,534145),"
245,New Jersey 3rd,NJ-03,Republican,Tom,MacArthur,2014,1960,Man,White - Non-Hispanic,Christian - Episcopalian,No,45.2,51.4,51.8,47.2,51.1,47.7,38.9,59.3,61,39,63,34,44.4,54,45.5,54.5,80.2,9.9,5.4,2.8,0.1,1.6,33.9,146,34.2,199,74537,72,52.7,365240,165090,187703,345812,179028,163203,367978,188210,175525,328060,127526,194596,5938,186103,82537,100471,3095,145509,174257,715305,562555,,,"(245,'New Jersey 3rd','NJ-03','Republican','Tom','MacArthur',2014,1960,'Man','White - Non-Hispanic','Christian - Episcopalian','No',45.2,51.4,51.8,47.2,51.1,47.7,38.9,59.3,61,39,63,34,44.4,54,45.5,54.5,80.2,9.9,5.4,2.8,0.1,1.6,33.9,146,34.2,199,74537,72,52.7,365240,165090,187703,345812,179028,163203,367978,188210,175525,328060,127526,194596,5938,186103,82537,100471,3095,145509,174257,715305,562555),"
246,New Jersey 4th,NJ-04,Republican,Chris,Smith,1980,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,41,55.8,44.7,54.2,45.3,53.6,33.5,63.7,49,50,54,43,31.1,68,35.6,64.4,83.6,6.2,5.9,3.4,0,0.9,39.6,83,42.1,120,78511,57,48.4,356583,146191,198859,332612,148622,180439,355041,160660,190307,332684,111532,211992,9160,174849,54415,118826,1608,108097,195186,699475,521035,,,"(246,'New Jersey 4th','NJ-04','Republican','Chris','Smith',1980,1953,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',41,55.8,44.7,54.2,45.3,53.6,33.5,63.7,49,50,54,43,31.1,68,35.6,64.4,83.6,6.2,5.9,3.4,0,0.9,39.6,83,42.1,120,78511,57,48.4,356583,146191,198859,332612,148622,180439,355041,160660,190307,332684,111532,211992,9160,174849,54415,118826,1608,108097,195186,699475,521035),"
247,New Jersey 5th,NJ-05,Democratic,Josh,Gottheimer,2016,1975,Man,White - Non-Hispanic,Jewish,No,47.7,48.8,47.9,50.9,48.5,50.5,51.1,46.7,49,51,54,43,43.3,55.4,43.7,56.3,76.7,4.7,10.2,7.5,0.1,0.7,47.7,30,48.1,75,100219,14,39.7,364545,173963,178058,338580,162305,172486,363746,176486,183854,337701,172587,157690,7424,188921,81808,104678,2435,130102,167503,691180,530115,,,"(247,'New Jersey 5th','NJ-05','Democratic','Josh','Gottheimer',2016,1975,'Man','White - Non-Hispanic','Jewish','No',47.7,48.8,47.9,50.9,48.5,50.5,51.1,46.7,49,51,54,43,43.3,55.4,43.7,56.3,76.7,4.7,10.2,7.5,0.1,0.7,47.7,30,48.1,75,100219,14,39.7,364545,173963,178058,338580,162305,172486,363746,176486,183854,337701,172587,157690,7424,188921,81808,104678,2435,130102,167503,691180,530115),"
248,New Jersey 6th,NJ-06,Democratic,Frank,Pallone,1988,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,56.2,40.6,61.4,37.4,58.4,40.5,63.7,34.9,44,56,50,46,59.9,38.9,64.2,35.8,60.1,10.4,14.4,14,0.1,0.9,38.9,88,37.3,168,79229,56,37.6,289648,162857,117679,265918,163391,99466,292048,170603,118187,263435,167895,91908,3632,120457,72190,46891,1376,152310,84831,638160,484280,,,"(248,'New Jersey 6th','NJ-06','Democratic','Frank','Pallone',1988,1951,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',56.2,40.6,61.4,37.4,58.4,40.5,63.7,34.9,44,56,50,46,59.9,38.9,64.2,35.8,60.1,10.4,14.4,14,0.1,0.9,38.9,88,37.3,168,79229,56,37.6,289648,162857,117679,265918,163391,99466,292048,170603,118187,263435,167895,91908,3632,120457,72190,46891,1376,152310,84831,638160,484280),"
249,New Jersey 7th,NJ-07,Republican,Leonard,Lance,2008,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,48.6,47.5,46.3,52.5,47.2,51.6,43.1,54.1,43,57,45,52,38.8,59.3,41.2,58.8,79.2,4.7,8.1,7.2,0,0.8,51.3,24,53.1,44,106896,6,37.1,371592,180530,176386,340175,157635,178521,364851,172330,188352,343635,148188,185850,9597,175997,68232,104287,3478,123090,175704,688390,518765,,,"(249,'New Jersey 7th','NJ-07','Republican','Leonard','Lance',2008,1952,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',48.6,47.5,46.3,52.5,47.2,51.6,43.1,54.1,43,57,45,52,38.8,59.3,41.2,58.8,79.2,4.7,8.1,7.2,0,0.8,51.3,24,53.1,44,106896,6,37.1,371592,180530,176386,340175,157635,178521,364851,172330,188352,343635,148188,185850,9597,175997,68232,104287,3478,123090,175704,688390,518765),"
250,New Jersey 8th,NJ-08,Democratic,Albio,Sires,2006,1951,Man,Hispanic - Cuban,Christian - Roman Catholic,No,75.7,21.5,78.3,20.8,73.2,26,77,18.5,57,43,61,35,77.4,19,80.5,19.5,35,10.6,46.5,6.5,0.2,1.1,33.1,158,50.9,57,57391,201,16.9,229736,173834,49336,207307,162232,43032,217359,159013,56502,174889,134733,32337,7819,79518,61510,15141,2867,130858,31769,574780,420495,,,"(250,'New Jersey 8th','NJ-08','Democratic','Albio','Sires',2006,1951,'Man','Hispanic - Cuban','Christian - Roman Catholic','No',75.7,21.5,78.3,20.8,73.2,26,77,18.5,57,43,61,35,77.4,19,80.5,19.5,35,10.6,46.5,6.5,0.2,1.1,33.1,158,50.9,57,57391,201,16.9,229736,173834,49336,207307,162232,43032,217359,159013,56502,174889,134733,32337,7819,79518,61510,15141,2867,130858,31769,574780,420495),"
251,New Jersey 9th,NJ-09,Democratic,Bill,Pascrell,1996,1937,Man,White - Non-Hispanic,Christian - Roman Catholic,No,64.3,33.1,68.4,30.8,64,35.2,69.7,28,47,53,48,49,68.5,30.1,74.7,25.3,48.2,11,29.3,10.4,0.2,1,33.6,153,41,128,64964,137,28.3,276738,177954,91696,253218,173082,77951,266738,170663,93912,233242,162642,65376,5224,120459,82498,36246,1715,162834,55094,630465,468600,,,"(251,'New Jersey 9th','NJ-09','Democratic','Bill','Pascrell',1996,1937,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',64.3,33.1,68.4,30.8,64,35.2,69.7,28,47,53,48,49,68.5,30.1,74.7,25.3,48.2,11,29.3,10.4,0.2,1,33.6,153,41,128,64964,137,28.3,276738,177954,91696,253218,173082,77951,266738,170663,93912,233242,162642,65376,5224,120459,82498,36246,1715,162834,55094,630465,468600),"
